time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss
3,13626,19.90803698,21,29.19,43008,2.3832670217379928,0.408907949924469,0.2,0.0003,0.0251953125,-0.636933289654553,0.0032794164,0.7652899622917175,200,-0.002443135459907353
3,14276,20.17529278,22,29.58,45056,52.59952750876546,0.124683678150177,0.2,0.0003,0.040673828125,-0.5319125807844103,0.0038380073,36.0920295715332,210,-0.00339382669335464
3,14923,20.40086916,23,29.9,47104,8.137246936559677,0.48025572299957275,0.2,0.0003,0.05595703125,-0.5667203341610729,0.0056861425,0.6372279524803162,220,-0.000544055243517505
3,15571,20.452167340000003,24,29.97,49152,11.325747834704817,0.2708303928375244,0.2,0.0003,0.024365234375,-0.5741142597049474,0.0029735728,3.866179943084717,230,-0.0006059778352209833
3,16220,20.30361526,25,29.76,51200,13.142895698547363,0.0513460636138916,0.2,0.0003,0.0400390625,-0.5810162464156747,0.0023155257,2.002763509750366,240,-0.0007829754351405427
3,16868,19.50829118,26,28.66,53248,7.287254420015961,0.22159165143966675,0.2,0.0003,0.048388671875,-0.5854405916295946,0.0052161324,0.34181320667266846,250,-0.0027473335307149683
3,17516,20.15029122,27,29.56,55296,50.0231745775789,0.0696038007736206,0.2,0.0003,0.010400390625,-0.5643042890354991,0.0013479459,28.274730682373047,260,-0.0029110400879289954
3,18165,19.97615254,28,29.31,57344,18.685053839720787,0.26750344038009644,0.2,0.0003,0.04140625,-0.4925085375085473,0.0029728215,7.049492359161377,270,-0.0036021305408212357
3,18814,20.08960291,29,29.48,59392,23.039389205537738,0.16715937852859497,0.2,0.0003,0.017333984375,-0.4900941701605916,0.0014915655,1.6206121444702148,280,5.863261649210472e-05
3,19463,20.13119131,30,29.52,61440,1.4512307545170189,0.09897714853286743,0.2,0.0003,0.03408203125,-0.4692032885737717,0.002349885,0.31332841515541077,290,-0.0006369386072037741
3,20111,20.068656869999998,31,29.45,63488,27.631988085992635,0.1795094609260559,0.2,0.0003,0.01083984375,-0.46543687833473085,0.0027134162,5.420188903808594,300,-0.0012491899607994128
3,20759,20.0759233,32,29.47,65536,45.814910592138766,0.14092254638671875,0.2,0.0003,0.000146484375,-0.4478667973540723,0.0010645282,52.783203125,310,-0.0008228894315834623
3,21407,20.17010398,33,29.6,67584,4.191023032180965,0.6944762170314789,0.2,0.0003,0.0150390625,-0.4126740825362504,0.002072588,1.1265255212783813,320,-0.001327286347077461
3,22055,20.25842291,34,29.72,69632,32.745831111632285,0.16108912229537964,0.2,0.0003,0.034130859375,-0.35140816811472175,0.003226913,7.991710662841797,330,-0.002615475184575189
3,22704,20.46134211,35,30.0,71680,13.878757591545583,0.3833911418914795,0.2,0.0003,0.0134765625,-0.36526010325178504,0.00076595455,4.9472737312316895,340,-6.15729722994729e-06
3,23352,20.465412999999998,36,30.0,73728,0.8038938580546529,0.5347883999347687,0.2,0.0003,0.03076171875,-0.38578102281317117,0.0020246084,0.3640660345554352,350,-0.0011115730143501424
3,24001,20.35301672,37,29.84,75776,0.3227554267738014,0.6782543957233429,0.2,0.0003,0.0470703125,-0.44230209328234193,0.011085515,0.24269041419029236,360,-0.004758545023651095
3,24650,20.01845575,38,29.4,77824,13.25753987118369,0.04001802206039429,0.2,0.0003,0.04052734375,-0.5221578072756529,0.010147429,0.02535836212337017,370,-0.00030767182615818454
3,25298,20.09793195,39,29.51,79872,35.104655225994065,0.06819581985473633,0.2,0.0003,0.000634765625,-0.48803748078644277,0.00021268189,14.498512268066406,380,0.0005058084963820875
3,25947,20.06974007,40,29.46,81920,23.039373751170935,0.192541241645813,0.2,0.0003,0.007080078125,-0.42422904819250107,0.0024736796,0.7125784754753113,390,-0.00100707574201806
3,26596,20.12160404,41,29.53,83968,36.768151284754275,0.2832905650138855,0.2,0.0003,0.0,-0.37000627275556325,0.0007978106,22.9831485748291,400,-0.0004346973544670618
3,27247,20.20491087,42,29.65,86016,40.509051787108184,0.22889548540115356,0.2,0.0003,0.01708984375,-0.40564714102074506,0.0015848301,9.054204940795898,410,-0.0018924259544291998
3,27896,20.061411399999997,43,29.44,88064,36.9218097563833,0.1351633071899414,0.2,0.0003,9.765625e-05,-0.4004731466062367,0.00048764134,17.282663345336914,420,-0.00043968519385089165
3,28542,20.1856939,44,29.62,90112,24.100104322470724,0.31603574752807617,0.2,0.0003,0.018505859375,-0.4473299025557935,0.001975635,7.651856899261475,430,-0.0008284450777864549
3,29191,20.234295590000002,45,29.7,92160,31.879480040445923,0.1134793758392334,0.2,0.0003,0.016748046875,-0.4079996794462204,0.0012783785,9.032132148742676,440,-0.0016840791278809775
3,29841,20.26714892,46,29.74,94208,12.048768027126789,0.5264144241809845,0.2,0.0003,0.026953125,-0.424535343144089,0.0018340249,0.974207878112793,450,-0.001965420521446504
3,30491,20.22421659,47,29.67,96256,10.673106869775802,0.2847225069999695,0.2,0.0003,0.045849609375,-0.45435798075050116,0.005231711,0.09565743058919907,460,-0.00011410332372179255
3,31154,20.40558128,48,29.94,98304,15.776143757719547,0.06929993629455566,0.2,0.0003,0.02744140625,-0.4241499090567231,0.002106604,6.101412773132324,470,-0.00024287336418638006
3,31803,20.27164729,49,29.75,100352,26.232454131543637,0.24477392435073853,0.2,0.0003,0.00224609375,-0.3864673325791955,0.0007818997,1.5271084308624268,480,-0.0012852580170147122
3,32451,20.25378287,50,29.71,102400,23.820127036608756,0.22166556119918823,0.2,0.0003,0.050048828125,-0.44849464753642676,0.0015967048,1.769333004951477,490,-0.0005239549871475901
3,33102,20.2800013,51,29.74,104448,14.79442243995145,0.18311208486557007,0.2,0.0003,0.019873046875,-0.490457856003195,0.0016419837,9.73736572265625,500,-9.002429324027617e-05
3,33751,20.201035830000002,52,29.64,106496,12.082086757849902,0.3333140015602112,0.2,0.0003,0.058251953125,-0.4442718654870987,0.012770202,0.39289823174476624,510,-0.00032645958854118364
3,34400,19.83396694,53,29.13,108544,24.0564798344858,0.0813150405883789,0.2,0.0003,0.018896484375,-0.4721305067650974,0.0018341872,0.46101677417755127,520,-0.0007042543933494016
3,35049,19.946788899999998,54,29.28,110592,39.77505491496995,0.04676258563995361,0.2,0.0003,0.0310546875,-0.5655026055872441,0.0030702525,13.553622245788574,530,-0.0019537079460860696
3,35699,20.31970722,55,29.79,112640,21.316144207958132,0.1953434944152832,0.2,0.0003,0.070703125,-0.5359970935620367,0.014684429,20.46384048461914,540,-0.00026045988779515027
3,36348,20.450437389999998,56,29.97,114688,24.650841091014446,0.15808290243148804,0.2,0.0003,0.01923828125,-0.5357502847909927,0.00476887,11.183584213256836,550,-0.0007775416510412469
3,36996,20.04384287,57,29.42,116736,0.46913562710396944,-1.048414945602417,0.2,0.0003,0.052294921875,-0.44922144152224064,0.0059867,0.1798766553401947,560,-0.0029331757432373706
3,37646,20.371446759999998,58,29.88,118784,36.439850656688215,0.09625089168548584,0.2,0.0003,0.0232421875,-0.4518040355294943,0.0038294008,11.357490539550781,570,-0.0019431954191531987
3,38295,20.45656964,59,30.0,120832,18.867819407209755,0.29702228307724,0.2,0.0003,0.034423828125,-0.4107928084209561,0.002924297,2.9135427474975586,580,-0.002171149013156537
3,38943,20.38653748,60,29.88,122880,0.6788633883930743,0.6655859053134918,0.2,0.0003,0.0638671875,-0.45345099018886686,0.0072115846,0.24766209721565247,590,-0.004344855513772927
3,39593,20.35283027,61,29.84,124928,16.595942727848886,0.04230999946594238,0.2,0.0003,0.08330078125,-0.5339365678839385,0.027928278,11.772079467773438,600,-0.00387004830990918
3,40244,20.427182419999998,62,29.93,126976,16.608465031441302,0.09458482265472412,0.2,0.0003,0.062451171875,-0.535452991258353,0.0024752705,14.235416412353516,610,-0.0005881086271983804
3,40893,20.074809719999998,63,29.45,129024,17.634417102718725,0.050401508808135986,0.2,0.0003,0.05107421875,-0.5690882517956197,0.010361118,0.35625922679901123,620,-0.0022364074051438366
